D,mean.day,sd.day,N,se.day,CL95.day
600,253.1034473,NA,1,NA,NA
800,288.3606061,NA,1,NA,NA
1000,322.249675,24.81398432,2,17.54613658,51.2344658
1200,359.2963393,36.3149052,3,20.96642029,49.34160688
1400,483.6404564,79.12761772,4,39.56380886,84.34397877
1600,562.6731187,23.60187832,5,10.55508086,21.26899852
1800,626.9921163,25.24836814,6,10.30760313,20.02953114
2000,659.8829788,47.48623291,7,17.948109,34.00410331
2200,684.4837596,29.74588116,8,10.51675714,19.5564151
2400,700.979234,35.50443139,9,11.83481046,21.69454411
2600,730.8324853,15.45527981,9,5.151759938,9.443757768
2800,741.4595924,28.24570254,8,9.986363901,18.57012339
3000,757.447625,24.65007404,8,8.715117255,16.20617919
3200,791.7077124,48.5755301,8,17.17404337,31.93595864
3400,933.9478734,37.98524993,8,13.42981391,24.97338409
3600,985.5186625,58.46166261,8,20.66931904,38.43559165
3800,1001.754486,66.25865243,8,23.42597122,43.56171882
4000,934.95419,58.752552,8,20.77216397,38.62683674
4200,985.0132562,50.59470499,8,17.88792949,33.26346419
4400,964.524873,55.13824878,7,20.84029914,39.48358488
4600,1044.925669,29.41413077,7,11.11749643,21.06297089
4800,1072.677136,51.11917622,8,18.07335808,33.60827754
5000,1198.467864,59.24827971,8,20.94743018,38.95275268
5200,1305.347393,26.80064638,7,10.12969219,19.19149809
5400,1307.415139,126.5876056,7,47.84561764,90.64728353
5600,1335.871558,77.8425932,7,29.42173472,55.74178912
5800,1370.233973,92.46164504,7,34.94721694,66.21024953
6000,1343.289213,84.14343289,7,31.80322827,60.25371585
6200,1377.343144,78.25171776,7,29.57636926,56.03475642
6400,1497.677801,71.86845216,8,25.40933494,47.24987892
6600,1563.147387,82.07969151,9,27.35989717,50.15378134
6800,1592.546927,28.21393127,9,9.404643756,17.2397741
7000,1343.059372,65.33674978,9,21.77891659,39.92321367
7200,1322.615657,88.52858187,10,27.99519567,50.74020378
7400,1318.58582,118.6143693,10,37.50915702,67.98388885
7600,1320.154802,144.1264957,10,45.57679976,82.60617767
7800,1692.124343,156.9436883,10,49.62995195,89.95235844
8000,1798.903867,140.1473076,11,42.25600316,75.88691457
8200,1814.709934,73.21915416,11,22.07640562,39.6466817
8400,1863.98981,56.67381219,11,17.08779732,30.68771578
8600,1946.260609,72.08038892,11,21.73305498,39.0300635
8800,1914.012801,56.02527391,11,16.89225567,30.3365455
9000,1947.499874,22.81284005,11,6.878330078,12.35268857
9200,1969.068934,28.22208105,10,8.924605641,16.17550076
9400,2000.146179,25.01939445,10,7.911827213,14.33987923
9600,2028.172646,23.36807936,10,7.389635531,13.39342711
9800,2055.054931,37.88712527,10,11.98096099,21.715026
10000,2108.359087,49.67745973,10,15.70939211,28.47266247
10200,2200.215333,28.99685114,10,9.169609458,16.61956065
10400,2250.170905,16.07244183,10,5.082552375,9.211928585
10600,2292.154423,36.26097568,10,11.46672733,20.7829975
10800,2322.14264,37.77845817,10,11.94659743,21.65274339
11000,2344.487398,45.83110987,10,14.49306949,26.268125
11200,2366.178258,15.74174002,10,4.97797528,9.022386666
11400,2390.233963,30.09992593,10,9.518432334,17.25178856
11600,2413.968952,28.30901858,10,8.952097703,16.22532905
11800,2443.787287,14.75875198,9,4.919583993,9.018153041
12000,2474.47106,17.20767579,9,5.735891931,10.51453768
12200,2525.894415,23.38287201,9,7.794290671,14.28781503
12400,2693.039302,44.71566533,9,14.90522178,27.3229548
12600,2710.576224,82.4389849,9,27.47966163,50.37332312
12800,2736.790142,28.07205079,9,9.357350264,17.15307978
13000,2753.441114,28.09667997,9,9.36555999,17.16812914
13200,2771.153825,29.29952384,9,9.766507946,17.90311202
13400,2789.048363,28.22614554,9,9.408715181,17.24723748
13600,2812.693957,34.09763925,9,11.36587975,20.83494116
13800,2941.294887,26.46792446,10,8.369892623,15.17010498
14000,3006.554841,13.0465846,10,4.125692302,7.477656901
14200,3035.745095,15.40274584,10,4.870775907,8.82809197
14400,3055.945702,17.46740216,10,5.523677565,10.01145084
14600,3075.820807,35.28806014,10,11.15906442,20.22537044
14800,3097.459722,33.52988919,10,10.60308195,19.21767382
15000,3117.928037,20.47041603,10,6.47331393,11.73262983
15200,3145.282114,24.29765763,10,7.68359399,13.92621539
15400,3181.530791,66.23548155,10,20.94549836,37.96290148
15600,3268.356333,29.51382734,10,9.333091685,16.91586583
15800,3359.30162,39.38000395,10,12.45305068,22.57067021
16000,3383.277413,69.1505746,10,21.86733173,39.63368861
16200,3436.937721,22.55913219,10,7.133823977,12.92977861
16400,3497.537063,42.01386313,10,13.28595008,24.080268
16600,3566.899991,38.56340187,10,12.19481842,22.10263429
16800,3593.673513,26.95256339,10,8.52314891,15.44787604
17000,3615.534646,44.42144292,10,14.04729366,25.46017364
17200,3650.342861,18.58540505,10,5.877221119,10.65223479
17400,3698.601975,36.86321352,10,11.65717166,21.12817043
17600,3729.117239,30.70386017,10,9.709413109,17.59793379
17800,3766.631686,24.8141065,10,7.846909464,14.22221834
18000,3799.495894,20.06152089,10,6.344009933,11.49827137
18200,3855.273226,29.07568558,10,9.194539096,16.66474465
18400,3861.337887,31.00425007,10,9.804404738,17.77010242
18600,3911.127649,24.46461661,10,7.736391057,14.02190802
18800,3964.686792,31.33696341,10,9.909617934,17.96079725
19000,4026.71486,18.03334202,10,5.702643461,10.33581957
19200,4055.871541,46.35236205,10,14.6579039,26.56688096
19400,4078.369708,44.84603292,9,14.94867764,27.40261431
19600,4082.302895,59.96915745,8,21.20229895,39.4266934
19800,4151.050957,60.51210622,7,22.87142634,43.33171501
20000,4215.283867,31.02164082,6,12.66453183,24.60946852
20200,4258.690653,19.49689003,5,8.719274292,17.56975948
20400,4280.192671,33.08604921,4,16.5430246,35.26719384
20600,4309.743685,21.36305958,3,12.3339682,29.02630977
20800,4319.877315,14.13778507,2,9.996923691,29.19087303
21000,4371.300956,NA,1,NA,NA
